system:index,date,temperature_celsius,.geo
A20190807_0300,2019-08-07,28.01435926671379,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_0600,2019-08-07,29.94441954581377,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_0900,2019-08-07,29.543066889653133,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_1200,2019-08-07,24.331474958211817,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_1500,2019-08-07,23.701684985271644,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_1800,2019-08-07,23.44679732390731,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_2100,2019-08-07,22.249334463358284,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_0000,2019-08-08,23.64625117412824,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_0300,2019-08-08,28.20194458319643,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_0600,2019-08-08,30.737706325584092,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_0900,2019-08-08,29.470790449302903,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_1200,2019-08-08,24.639037441013432,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_1500,2019-08-08,23.779901103555943,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_1800,2019-08-08,23.28157642779267,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190808_2100,2019-08-08,22.584793482658775,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_0000,2019-08-09,24.494388897392376,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_0300,2019-08-09,28.496116378240657,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_0600,2019-08-09,30.417061880839928,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_0900,2019-08-09,29.659918328367034,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_1200,2019-08-09,25.213095233602377,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_1500,2019-08-09,24.002930915400604,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_1800,2019-08-09,23.307241741079654,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190809_2100,2019-08-09,22.152475176215535,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_0000,2019-08-10,23.903950114292325,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_0300,2019-08-10,28.258137268661887,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_0600,2019-08-10,30.429074897629675,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_0900,2019-08-10,29.984123852355342,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_1200,2019-08-10,25.2159169051663,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_1500,2019-08-10,24.042859777567397,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_1800,2019-08-10,23.46399181476891,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190810_2100,2019-08-10,22.794636605790743,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_0000,2019-08-11,25.119636284811637,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_0300,2019-08-11,29.158841221597218,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_0600,2019-08-11,30.723518836405223,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_0900,2019-08-11,29.813552853803863,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_1200,2019-08-11,25.089942339780922,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_1500,2019-08-11,24.29164701728084,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_1800,2019-08-11,23.62737126781022,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190811_2100,2019-08-11,23.215255817146915,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_0000,2019-08-12,25.72120532232538,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_0300,2019-08-12,30.158762654486292,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_0600,2019-08-12,31.100059712879574,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_0900,2019-08-12,30.57351227151937,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_1200,2019-08-12,25.839381305509395,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_1500,2019-08-12,24.793658457321726,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_1800,2019-08-12,24.292076166000534,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190812_2100,2019-08-12,24.22570872499411,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_0000,2019-08-13,26.520932416555006,"{""type"":""MultiPoint"",""coordinates"":[]}"
