date,mean_pressure,.geo
2019-11-22,100323.571412544,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-23,100329.15312600319,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-24,100315.1257236358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-25,100235.53692311936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-26,100156.80629343104,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-27,100198.83942965236,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-28,100155.7767024644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-29,100196.00161210698,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-30,100186.5565549238,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-01,100119.80251688907,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-02,100154.05657218404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-03,100225.49066565864,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-04,100338.01835972421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-05,100345.4636533728,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-06,100319.74913957667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-07,100324.37150264249,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-08,100358.12386298123,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-09,100278.67120265943,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-10,100239.88214703657,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-11,100216.56002423336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-12,100301.4647390423,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-13,100357.9276571286,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-14,100261.85620143395,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-15,100225.39788320333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-16,100263.38302558307,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-17,100307.0892147623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-18,100277.17731106067,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-19,100306.95277251338,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-20,100210.86899300263,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-21,100218.62172616264,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-22,100314.92692874622,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-23,100359.43967198623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-24,100293.19336999404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-25,100314.48145904313,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-26,100255.61528463868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-27,100280.61961696057,"{""type"":""MultiPoint"",""coordinates"":[]}"
